datetime,symbol,exchange,interval,datetime,open,high,low,close,volume,turnover,transaction,open_interest,ZigZag,ZigZag_Change,淨值比,淨值比最大值,淨值比最小值,淨值,每股盈餘,每股盈餘_TTM,每股盈餘_TTM_YoY,每股盈餘_TTM_Change,每股盈餘_YTD_YoY,本益比,本益比最大值,本益比最小值
2013-01-22,2330,twse,d,2013-01-22,101.0,101.0,99.9,101.0,21946618,0.0,5388,0,,,3.406953255789019,3.406953255789019,3.3698478242903267,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.165165165165167,15.165165165165167,15.000000000000002
2013-01-23,2330,twse,d,2013-01-23,101.5,101.5,100.0,101.0,30821432,0.0,7292,0,,,3.406953255789019,3.4238193610156973,3.3732210453356624,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.165165165165167,15.240240240240242,15.015015015015017
2013-01-24,2330,twse,d,2013-01-24,100.0,100.5,99.2,99.9,40653209,0.0,8257,0,,,3.3698478242903267,3.3900871505623407,3.346235276972977,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.000000000000002,15.090090090090092,14.894894894894897
2013-01-25,2330,twse,d,2013-01-25,99.9,99.9,98.0,99.0,48674849,0.0,11885,0,,,3.3394888348823057,3.3698478242903267,3.305756624428949,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.864864864864867,15.000000000000002,14.714714714714717
2013-01-28,2330,twse,d,2013-01-28,98.7,99.5,98.6,99.3,29190978,0.0,7200,0,,,3.3496084980183127,3.356354940108984,3.3259959507009627,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,14.909909909909912,14.939939939939942,14.804804804804805
2013-01-29,2330,twse,d,2013-01-29,100.0,101.5,99.7,101.0,36060537,0.0,12071,0,,,3.406953255789019,3.4238193610156973,3.3631013821996554,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.165165165165167,15.240240240240242,14.969969969969972
2013-01-30,2330,twse,d,2013-01-30,102.0,102.0,100.5,101.5,28862623,0.0,6963,0,,,3.4238193610156973,3.4406854662423756,3.3900871505623407,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.240240240240242,15.315315315315317,15.090090090090092
2013-01-31,2330,twse,d,2013-01-31,100.5,101.5,100.0,101.5,42489565,0.0,6481,0,,,3.4238193610156973,3.4238193610156973,3.3732210453356624,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.240240240240242,15.240240240240242,15.015015015015017
2013-02-01,2330,twse,d,2013-02-01,101.5,101.5,100.5,101.5,23211035,0.0,7596,0,,,3.4238193610156973,3.4238193610156973,3.3900871505623407,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.240240240240242,15.240240240240242,15.090090090090092
2013-02-04,2330,twse,d,2013-02-04,102.0,103.0,102.0,103.0,35257079,0.0,10873,0,,,3.474417676695732,3.474417676695732,3.4406854662423756,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.465465465465467,15.465465465465467,15.315315315315317
2013-02-05,2330,twse,d,2013-02-05,103.0,103.0,101.5,103.0,17896471,0.0,5200,0,,,3.474417676695732,3.474417676695732,3.4238193610156973,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.465465465465467,15.465465465465467,15.240240240240242
2013-02-06,2330,twse,d,2013-02-06,103.5,105.0,103.0,105.0,32330330,0.0,9340,0,,,3.5418820976024454,3.5418820976024454,3.474417676695732,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.765765765765767,15.765765765765767,15.465465465465467
2013-02-18,2330,twse,d,2013-02-18,107.0,108.5,106.5,107.0,64345580,0.0,13470,0,,,3.6093465185091587,3.6599448341891936,3.5924804132824804,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,16.066066066066067,16.291291291291294,15.990990990990992
2013-02-19,2330,twse,d,2013-02-19,108.5,108.5,106.5,107.0,22103657,0.0,6114,0,,,3.6093465185091587,3.6599448341891936,3.5924804132824804,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,16.066066066066067,16.291291291291294,15.990990990990992
2013-02-20,2330,twse,d,2013-02-20,108.5,109.5,108.0,109.0,41921556,0.0,10171,0,109.5,0.4837398373983741,3.676810939415872,3.69367704464255,3.6430787289625153,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,16.366366366366368,16.441441441441444,16.216216216216218
2013-02-21,2330,twse,d,2013-02-21,108.5,108.5,107.0,107.0,30551806,0.0,7485,0,,,3.6093465185091587,3.6599448341891936,3.6093465185091587,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,16.066066066066067,16.291291291291294,16.066066066066067
2013-02-22,2330,twse,d,2013-02-22,106.0,106.5,105.0,105.5,39577666,0.0,10313,0,,,3.5587482028291237,3.5924804132824804,3.5418820976024454,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.840840840840842,15.990990990990992,15.765765765765767
2013-02-23,2330,twse,d,2013-02-23,106.5,107.5,106.0,107.0,10174533,0.0,3022,0,,,3.6093465185091587,3.626212623735837,3.575614308055802,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,16.066066066066067,16.141141141141144,15.915915915915917
2013-02-25,2330,twse,d,2013-02-25,106.5,107.0,105.0,105.0,37216683,0.0,8564,0,,,3.5418820976024454,3.6093465185091587,3.5418820976024454,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.765765765765767,16.066066066066067,15.765765765765767
2013-02-26,2330,twse,d,2013-02-26,103.5,105.0,102.5,103.5,38498610,0.0,9572,0,,,3.4912837819224105,3.5418820976024454,3.457551571469054,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.540540540540542,15.765765765765767,15.390390390390392
2013-02-27,2330,twse,d,2013-02-27,102.0,104.5,101.0,104.5,81358059,0.0,13654,0,,,3.525015992375767,3.525015992375767,3.406953255789019,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.690690690690692,15.690690690690692,15.165165165165167
2013-03-01,2330,twse,d,2013-03-01,103.0,105.0,102.5,105.0,35081170,0.0,9263,0,,,3.5418820976024454,3.5418820976024454,3.457551571469054,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.765765765765767,15.765765765765767,15.390390390390392
2013-03-04,2330,twse,d,2013-03-04,104.5,104.5,101.5,102.0,55265946,0.0,11896,0,,,3.4406854662423756,3.525015992375767,3.4238193610156973,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.315315315315317,15.690690690690692,15.240240240240242
2013-03-05,2330,twse,d,2013-03-05,103.5,104.0,102.5,104.0,56213527,0.0,9603,0,,,3.508149887149089,3.508149887149089,3.457551571469054,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.615615615615617,15.615615615615617,15.390390390390392
2013-03-06,2330,twse,d,2013-03-06,104.0,104.5,103.0,104.0,38026322,0.0,6844,0,,,3.508149887149089,3.525015992375767,3.474417676695732,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.615615615615617,15.690690690690692,15.465465465465467
2013-03-07,2330,twse,d,2013-03-07,103.5,104.0,103.0,103.0,20783572,0.0,6812,0,,,3.474417676695732,3.508149887149089,3.474417676695732,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.465465465465467,15.615615615615617,15.465465465465467
2013-03-08,2330,twse,d,2013-03-08,103.0,104.5,102.0,103.5,46036003,0.0,8598,0,,,3.4912837819224105,3.525015992375767,3.4406854662423756,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.540540540540542,15.690690690690692,15.315315315315317
2013-03-11,2330,twse,d,2013-03-11,102.0,104.0,102.0,102.0,36093271,0.0,9071,0,,,3.4406854662423756,3.508149887149089,3.4406854662423756,29.645255575016492,1.53,6.659999999999999,,0.03738317757009346,0.18604651162790686,15.315315315315317,15.615615615615617,15.315315315315317
